('Cycle: ', 0, 'Tile halt list', [0, 0, 0])
('Cycle: ', 1, 'Tile halt list', [0, 0, 0])
('Cycle: ', 2, 'Tile halt list', [0, 0, 0])
('Cycle: ', 3, 'Tile halt list', [0, 0, 0])
('Cycle: ', 4, 'Tile halt list', [0, 0, 0])
('Cycle: ', 5, 'Tile halt list', [0, 0, 0])
('Cycle: ', 6, 'Tile halt list', [0, 0, 0])
('Cycle: ', 7, 'Tile halt list', [0, 0, 0])
('Cycle: ', 8, 'Tile halt list', [0, 0, 0])
('Cycle: ', 9, 'Tile halt list', [0, 0, 0])
('Cycle: ', 10, 'Tile halt list', [0, 0, 0])
('Cycle: ', 11, 'Tile halt list', [0, 0, 0])
('Cycle: ', 12, 'Tile halt list', [0, 0, 0])
('Cycle: ', 13, 'Tile halt list', [0, 0, 0])
('Cycle: ', 14, 'Tile halt list', [0, 0, 0])
('Cycle: ', 15, 'Tile halt list', [0, 0, 0])
('Cycle: ', 16, 'Tile halt list', [0, 0, 0])
('Cycle: ', 17, 'Tile halt list', [0, 0, 0])
('Cycle: ', 18, 'Tile halt list', [0, 0, 0])
('Cycle: ', 19, 'Tile halt list', [0, 0, 0])
('Cycle: ', 20, 'Tile halt list', [0, 0, 0])
('Cycle: ', 21, 'Tile halt list', [0, 0, 0])
('Cycle: ', 22, 'Tile halt list', [0, 0, 0])
('Cycle: ', 23, 'Tile halt list', [0, 0, 0])
('Cycle: ', 24, 'Tile halt list', [0, 0, 0])
('Cycle: ', 25, 'Tile halt list', [0, 0, 0])
('Cycle: ', 26, 'Tile halt list', [0, 0, 0])
('Cycle: ', 27, 'Tile halt list', [0, 0, 0])
('Cycle: ', 28, 'Tile halt list', [0, 0, 0])
('Cycle: ', 29, 'Tile halt list', [0, 0, 0])
('Cycle: ', 30, 'Tile halt list', [0, 0, 0])
('Cycle: ', 31, 'Tile halt list', [0, 0, 0])
('Cycle: ', 32, 'Tile halt list', [0, 0, 0])
('Cycle: ', 33, 'Tile halt list', [0, 0, 0])
('Cycle: ', 34, 'Tile halt list', [0, 0, 0])
('Cycle: ', 35, 'Tile halt list', [0, 0, 0])
('Cycle: ', 36, 'Tile halt list', [0, 0, 0])
('Cycle: ', 37, 'Tile halt list', [0, 0, 0])
('Cycle: ', 38, 'Tile halt list', [0, 0, 0])
('Cycle: ', 39, 'Tile halt list', [0, 0, 0])
('Cycle: ', 40, 'Tile halt list', [0, 0, 0])
('Cycle: ', 41, 'Tile halt list', [0, 0, 0])
('Cycle: ', 42, 'Tile halt list', [0, 0, 0])
('Cycle: ', 43, 'Tile halt list', [0, 0, 0])
('Cycle: ', 44, 'Tile halt list', [0, 0, 0])
('Cycle: ', 45, 'Tile halt list', [0, 0, 0])
('Cycle: ', 46, 'Tile halt list', [0, 0, 0])
('Cycle: ', 47, 'Tile halt list', [0, 0, 0])
('Cycle: ', 48, 'Tile halt list', [0, 0, 0])
('Cycle: ', 49, 'Tile halt list', [0, 0, 0])
('Cycle: ', 50, 'Tile halt list', [0, 0, 0])
('Cycle: ', 51, 'Tile halt list', [0, 0, 0])
('Cycle: ', 52, 'Tile halt list', [0, 0, 0])
('Cycle: ', 53, 'Tile halt list', [0, 0, 0])
('Cycle: ', 54, 'Tile halt list', [0, 0, 0])
('Cycle: ', 55, 'Tile halt list', [0, 0, 0])
('Cycle: ', 56, 'Tile halt list', [0, 0, 0])
('Cycle: ', 57, 'Tile halt list', [0, 0, 0])
('Cycle: ', 58, 'Tile halt list', [0, 0, 0])
('Cycle: ', 59, 'Tile halt list', [0, 0, 0])
('Cycle: ', 60, 'Tile halt list', [0, 0, 0])
('Cycle: ', 61, 'Tile halt list', [0, 0, 0])
('Cycle: ', 62, 'Tile halt list', [1, 0, 0])
('Cycle: ', 63, 'Tile halt list', [1, 0, 0])
('Cycle: ', 64, 'Tile halt list', [1, 0, 0])
('Cycle: ', 65, 'Tile halt list', [1, 0, 0])
('Cycle: ', 66, 'Tile halt list', [1, 0, 0])
('Cycle: ', 67, 'Tile halt list', [1, 0, 0])
('Cycle: ', 68, 'Tile halt list', [1, 0, 0])
('Cycle: ', 69, 'Tile halt list', [1, 0, 0])
('Cycle: ', 70, 'Tile halt list', [1, 0, 0])
('Cycle: ', 71, 'Tile halt list', [1, 0, 0])
('Cycle: ', 72, 'Tile halt list', [1, 0, 0])
('Cycle: ', 73, 'Tile halt list', [1, 0, 0])
('Cycle: ', 74, 'Tile halt list', [1, 0, 0])
('Cycle: ', 75, 'Tile halt list', [1, 0, 0])
('Cycle: ', 76, 'Tile halt list', [1, 0, 0])
('Cycle: ', 77, 'Tile halt list', [1, 0, 0])
('Cycle: ', 78, 'Tile halt list', [1, 0, 0])
('Cycle: ', 79, 'Tile halt list', [1, 0, 0])
('Cycle: ', 80, 'Tile halt list', [1, 0, 0])
('Cycle: ', 81, 'Tile halt list', [1, 0, 0])
('Cycle: ', 82, 'Tile halt list', [1, 0, 0])
('Cycle: ', 83, 'Tile halt list', [1, 0, 0])
('Cycle: ', 84, 'Tile halt list', [1, 0, 0])
('Cycle: ', 85, 'Tile halt list', [1, 0, 0])
('Cycle: ', 86, 'Tile halt list', [1, 0, 0])
('Cycle: ', 87, 'Tile halt list', [1, 0, 0])
('Cycle: ', 88, 'Tile halt list', [1, 0, 0])
('Cycle: ', 89, 'Tile halt list', [1, 0, 0])
('Cycle: ', 90, 'Tile halt list', [1, 0, 0])
('Cycle: ', 91, 'Tile halt list', [1, 0, 0])
('Cycle: ', 92, 'Tile halt list', [1, 0, 0])
('Cycle: ', 93, 'Tile halt list', [1, 0, 0])
('Cycle: ', 94, 'Tile halt list', [1, 0, 0])
('Cycle: ', 95, 'Tile halt list', [1, 0, 0])
('Cycle: ', 96, 'Tile halt list', [1, 0, 0])
('Cycle: ', 97, 'Tile halt list', [1, 0, 0])
('Cycle: ', 98, 'Tile halt list', [1, 0, 0])
('Cycle: ', 99, 'Tile halt list', [1, 0, 0])
('Cycle: ', 100, 'Tile halt list', [1, 0, 0])
('Cycle: ', 101, 'Tile halt list', [1, 0, 0])
('Cycle: ', 102, 'Tile halt list', [1, 0, 0])
('Cycle: ', 103, 'Tile halt list', [1, 0, 0])
('Cycle: ', 104, 'Tile halt list', [1, 0, 0])
('Cycle: ', 105, 'Tile halt list', [1, 0, 0])
('Cycle: ', 106, 'Tile halt list', [1, 0, 0])
('Cycle: ', 107, 'Tile halt list', [1, 0, 0])
('Cycle: ', 108, 'Tile halt list', [1, 0, 0])
('Cycle: ', 109, 'Tile halt list', [1, 0, 0])
('Cycle: ', 110, 'Tile halt list', [1, 0, 0])
('Cycle: ', 111, 'Tile halt list', [1, 0, 0])
('Cycle: ', 112, 'Tile halt list', [1, 0, 0])
('Cycle: ', 113, 'Tile halt list', [1, 0, 0])
('Cycle: ', 114, 'Tile halt list', [1, 0, 0])
('Cycle: ', 115, 'Tile halt list', [1, 0, 0])
('Cycle: ', 116, 'Tile halt list', [1, 0, 0])
('Cycle: ', 117, 'Tile halt list', [1, 0, 0])
('Cycle: ', 118, 'Tile halt list', [1, 0, 0])
('Cycle: ', 119, 'Tile halt list', [1, 0, 0])
('Cycle: ', 120, 'Tile halt list', [1, 0, 0])
('Cycle: ', 121, 'Tile halt list', [1, 0, 0])
('Cycle: ', 122, 'Tile halt list', [1, 0, 0])
('Cycle: ', 123, 'Tile halt list', [1, 0, 0])
('Cycle: ', 124, 'Tile halt list', [1, 0, 0])
('Cycle: ', 125, 'Tile halt list', [1, 0, 0])
('Cycle: ', 126, 'Tile halt list', [1, 0, 0])
('Cycle: ', 127, 'Tile halt list', [1, 0, 0])
('Cycle: ', 128, 'Tile halt list', [1, 0, 0])
('Cycle: ', 129, 'Tile halt list', [1, 0, 0])
('Cycle: ', 130, 'Tile halt list', [1, 0, 0])
('Cycle: ', 131, 'Tile halt list', [1, 0, 0])
('Cycle: ', 132, 'Tile halt list', [1, 0, 0])
('Cycle: ', 133, 'Tile halt list', [1, 0, 0])
('Cycle: ', 134, 'Tile halt list', [1, 0, 0])
('Cycle: ', 135, 'Tile halt list', [1, 0, 0])
('Cycle: ', 136, 'Tile halt list', [1, 0, 0])
('Cycle: ', 137, 'Tile halt list', [1, 0, 0])
('Cycle: ', 138, 'Tile halt list', [1, 0, 0])
('Cycle: ', 139, 'Tile halt list', [1, 0, 0])
('Cycle: ', 140, 'Tile halt list', [1, 0, 0])
('Cycle: ', 141, 'Tile halt list', [1, 0, 0])
('Cycle: ', 142, 'Tile halt list', [1, 0, 0])
('Cycle: ', 143, 'Tile halt list', [1, 0, 0])
('Cycle: ', 144, 'Tile halt list', [1, 0, 0])
('Cycle: ', 145, 'Tile halt list', [1, 0, 0])
('Cycle: ', 146, 'Tile halt list', [1, 0, 0])
('Cycle: ', 147, 'Tile halt list', [1, 0, 0])
('Cycle: ', 148, 'Tile halt list', [1, 0, 0])
('Cycle: ', 149, 'Tile halt list', [1, 0, 0])
('Cycle: ', 150, 'Tile halt list', [1, 0, 0])
('Cycle: ', 151, 'Tile halt list', [1, 0, 0])
('Cycle: ', 152, 'Tile halt list', [1, 0, 0])
('Cycle: ', 153, 'Tile halt list', [1, 0, 0])
('Cycle: ', 154, 'Tile halt list', [1, 0, 0])
('Cycle: ', 155, 'Tile halt list', [1, 0, 0])
('Cycle: ', 156, 'Tile halt list', [1, 0, 0])
('Cycle: ', 157, 'Tile halt list', [1, 0, 0])
('Cycle: ', 158, 'Tile halt list', [1, 0, 0])
('Cycle: ', 159, 'Tile halt list', [1, 0, 0])
('Cycle: ', 160, 'Tile halt list', [1, 0, 0])
('Cycle: ', 161, 'Tile halt list', [1, 0, 0])
('Cycle: ', 162, 'Tile halt list', [1, 0, 0])
('Cycle: ', 163, 'Tile halt list', [1, 0, 0])
('Cycle: ', 164, 'Tile halt list', [1, 0, 0])
('Cycle: ', 165, 'Tile halt list', [1, 0, 0])
('Cycle: ', 166, 'Tile halt list', [1, 0, 0])
('Cycle: ', 167, 'Tile halt list', [1, 0, 0])
('Cycle: ', 168, 'Tile halt list', [1, 0, 0])
('Cycle: ', 169, 'Tile halt list', [1, 0, 0])
('Cycle: ', 170, 'Tile halt list', [1, 0, 0])
('Cycle: ', 171, 'Tile halt list', [1, 0, 0])
('Cycle: ', 172, 'Tile halt list', [1, 0, 0])
('Cycle: ', 173, 'Tile halt list', [1, 0, 0])
('Cycle: ', 174, 'Tile halt list', [1, 0, 0])
('Cycle: ', 175, 'Tile halt list', [1, 0, 0])
('Cycle: ', 176, 'Tile halt list', [1, 0, 0])
('Cycle: ', 177, 'Tile halt list', [1, 0, 0])
('Cycle: ', 178, 'Tile halt list', [1, 0, 0])
('Cycle: ', 179, 'Tile halt list', [1, 0, 0])
('Cycle: ', 180, 'Tile halt list', [1, 0, 0])
('Cycle: ', 181, 'Tile halt list', [1, 0, 0])
('Cycle: ', 182, 'Tile halt list', [1, 0, 0])
('Cycle: ', 183, 'Tile halt list', [1, 0, 0])
('Cycle: ', 184, 'Tile halt list', [1, 0, 0])
('Cycle: ', 185, 'Tile halt list', [1, 0, 0])
('Cycle: ', 186, 'Tile halt list', [1, 0, 0])
('Cycle: ', 187, 'Tile halt list', [1, 0, 0])
('Cycle: ', 188, 'Tile halt list', [1, 0, 0])
('Cycle: ', 189, 'Tile halt list', [1, 0, 0])
('Cycle: ', 190, 'Tile halt list', [1, 0, 0])
('Cycle: ', 191, 'Tile halt list', [1, 0, 0])
('Cycle: ', 192, 'Tile halt list', [1, 0, 0])
('Cycle: ', 193, 'Tile halt list', [1, 0, 0])
('Cycle: ', 194, 'Tile halt list', [1, 0, 0])
('Cycle: ', 195, 'Tile halt list', [1, 0, 0])
('Cycle: ', 196, 'Tile halt list', [1, 0, 0])
('Cycle: ', 197, 'Tile halt list', [1, 0, 0])
('Cycle: ', 198, 'Tile halt list', [1, 0, 0])
('Cycle: ', 199, 'Tile halt list', [1, 0, 0])
('Cycle: ', 200, 'Tile halt list', [1, 0, 0])
('Cycle: ', 201, 'Tile halt list', [1, 0, 0])
('Cycle: ', 202, 'Tile halt list', [1, 0, 0])
('Cycle: ', 203, 'Tile halt list', [1, 0, 0])
('Cycle: ', 204, 'Tile halt list', [1, 0, 0])
('Cycle: ', 205, 'Tile halt list', [1, 0, 0])
('Cycle: ', 206, 'Tile halt list', [1, 0, 0])
('Cycle: ', 207, 'Tile halt list', [1, 0, 0])
('Cycle: ', 208, 'Tile halt list', [1, 0, 0])
('Cycle: ', 209, 'Tile halt list', [1, 0, 0])
('Cycle: ', 210, 'Tile halt list', [1, 0, 0])
('Cycle: ', 211, 'Tile halt list', [1, 0, 0])
('Cycle: ', 212, 'Tile halt list', [1, 0, 0])
('Cycle: ', 213, 'Tile halt list', [1, 0, 0])
('Cycle: ', 214, 'Tile halt list', [1, 0, 0])
('Cycle: ', 215, 'Tile halt list', [1, 0, 0])
('Cycle: ', 216, 'Tile halt list', [1, 0, 0])
('Cycle: ', 217, 'Tile halt list', [1, 0, 0])
('Cycle: ', 218, 'Tile halt list', [1, 0, 0])
('Cycle: ', 219, 'Tile halt list', [1, 0, 0])
('Cycle: ', 220, 'Tile halt list', [1, 0, 0])
('Cycle: ', 221, 'Tile halt list', [1, 0, 0])
('Cycle: ', 222, 'Tile halt list', [1, 0, 0])
('Cycle: ', 223, 'Tile halt list', [1, 0, 0])
('Cycle: ', 224, 'Tile halt list', [1, 0, 0])
('Cycle: ', 225, 'Tile halt list', [1, 0, 0])
('Cycle: ', 226, 'Tile halt list', [1, 0, 0])
('Cycle: ', 227, 'Tile halt list', [1, 0, 0])
('Cycle: ', 228, 'Tile halt list', [1, 0, 0])
('Cycle: ', 229, 'Tile halt list', [1, 0, 0])
('Cycle: ', 230, 'Tile halt list', [1, 0, 0])
('Cycle: ', 231, 'Tile halt list', [1, 0, 0])
('Cycle: ', 232, 'Tile halt list', [1, 0, 0])
('Cycle: ', 233, 'Tile halt list', [1, 0, 0])
('Cycle: ', 234, 'Tile halt list', [1, 0, 0])
('Cycle: ', 235, 'Tile halt list', [1, 0, 0])
('Cycle: ', 236, 'Tile halt list', [1, 0, 0])
('Cycle: ', 237, 'Tile halt list', [1, 0, 0])
('Cycle: ', 238, 'Tile halt list', [1, 0, 0])
('Cycle: ', 239, 'Tile halt list', [1, 0, 0])
('Cycle: ', 240, 'Tile halt list', [1, 0, 0])
('Cycle: ', 241, 'Tile halt list', [1, 0, 0])
('Cycle: ', 242, 'Tile halt list', [1, 0, 0])
('Cycle: ', 243, 'Tile halt list', [1, 0, 0])
('Cycle: ', 244, 'Tile halt list', [1, 0, 0])
('Cycle: ', 245, 'Tile halt list', [1, 0, 0])
('Cycle: ', 246, 'Tile halt list', [1, 0, 0])
('Cycle: ', 247, 'Tile halt list', [1, 0, 0])
('Cycle: ', 248, 'Tile halt list', [1, 0, 0])
('Cycle: ', 249, 'Tile halt list', [1, 0, 0])
('Cycle: ', 250, 'Tile halt list', [1, 0, 0])
('Cycle: ', 251, 'Tile halt list', [1, 0, 0])
